target,source,flow
DZ,CZ,141
EG,CZ,0
LY,CZ,0
TN,CZ,0
NG,CZ,0
AFR_OTH,CZ,0
CA,CZ,0
US,CZ,1
BS,CZ,0
AN,CZ,0
TT,CZ,0
MX,CZ,0
AR,CZ,0
BR,CZ,0
CL,CZ,0
CO,CZ,0
EC,CZ,0
PE,CZ,0
VE,CZ,0
AME_OTH,CZ,0
KZ,CZ,538
KG,CZ,0
TJ,CZ,0
TM,CZ,0
UZ,CZ,0
CN_X_HK,CZ,0
HK,CZ,0
JP,CZ,0
KR,CZ,1
IN,CZ,0
IR,CZ,0
BN,CZ,0
ID,CZ,0
MY,CZ,0
SG,CZ,0
TH,CZ,0
VN,CZ,0
AM,CZ,0
AZ,CZ,1859
BH,CZ,0
GE,CZ,0
IQ,CZ,0
IL,CZ,0
KW,CZ,0
OM,CZ,0
QA,CZ,0
SA,CZ,0
SY,CZ,0
AE,CZ,0
YE,CZ,0
ASI_NME,CZ,0
ASI_OTH,CZ,0
AU,CZ,0
NZ,CZ,0
PG,CZ,0
TOTAL,CZ,10011
NSP,CZ,0
BE,DK,28
BG,DK,0
CZ,DK,0
DK,DK,0
DE,DK,213
EE,DK,231
IE,DK,0
EL,DK,0
ES,DK,64
FR,DK,31
HR,DK,0
IT,DK,25
CY,DK,0
LV,DK,85
LT,DK,9
LU,DK,0
HU,DK,0
MT,DK,0
NL,DK,226
AT,DK,2
PL,DK,549
PT,DK,0
RO,DK,0
SI,DK,0
SK,DK,0
FI,DK,340
SE,DK,1125
UK,DK,732
IS,DK,0
NO,DK,4576
CH,DK,17
ME,DK,0
MK,DK,0
RS,DK,0
TR,DK,0
BY,DK,0
BA,DK,0
MD,DK,0
RU,DK,301
UA,DK,0
EX_SU_OTH,DK,0
EUR_OTH,DK,0
AO,DK,0
CM,DK,0
CG,DK,0
CD,DK,0
GQ,DK,0
GA,DK,0
DZ,DK,0
EG,DK,0
LY,DK,80
TN,DK,0
NG,DK,91
AFR_OTH,DK,0
CA,DK,36
US,DK,217
BS,DK,0
AN,DK,0
TT,DK,0
MX,DK,0
AR,DK,0
BR,DK,0
CL,DK,0
CO,DK,0
EC,DK,0
PE,DK,0
VE,DK,92
AME_OTH,DK,0
KZ,DK,51
KG,DK,0
TJ,DK,0
TM,DK,0
UZ,DK,0
CN_X_HK,DK,0
HK,DK,0
JP,DK,0
KR,DK,78
IN,DK,34
IR,DK,0
BN,DK,0
ID,DK,0
MY,DK,0
SG,DK,56
TH,DK,0
VN,DK,0
AM,DK,0
AZ,DK,0
BH,DK,75
GE,DK,0
IQ,DK,0
IL,DK,0
KW,DK,78
OM,DK,0
QA,DK,194
SA,DK,90
SY,DK,0
AE,DK,201
YE,DK,0
ASI_NME,DK,0
ASI_OTH,DK,0
AU,DK,0
NZ,DK,0
PG,DK,0
TOTAL,DK,9979
NSP,DK,52
BE,DE,5330
BG,DE,0
CZ,DE,243
DK,DE,944
DE,DE,0
EE,DE,983
IE,DE,0
EL,DE,5
ES,DE,30
FR,DE,363
HR,DE,5
IT,DE,468
CY,DE,1
LV,DE,237
LT,DE,232
LU,DE,0
HU,DE,138
MT,DE,0
NL,DE,17575
AT,DE,382
PL,DE,342
PT,DE,0
RO,DE,0
SI,DE,104
SK,DE,193
FI,DE,106
SE,DE,268
UK,DE,14199
IS,DE,0
NO,DE,9556
CH,DE,120
ME,DE,0
MK,DE,0
RS,DE,0
TR,DE,1
BY,DE,10
BA,DE,1
MD,DE,0
RU,DE,37378
UA,DE,16
EX_SU_OTH,DE,0
EUR_OTH,DE,61
AO,DE,433
CM,DE,0
CG,DE,46
CD,DE,0
GQ,DE,85
GA,DE,164
DZ,DE,2461
EG,DE,1387
LY,DE,8613
TN,DE,528
NG,DE,6652
AFR_OTH,DE,671
CA,DE,86
US,DE,1214
BS,DE,0
AN,DE,0
TT,DE,8
MX,DE,120
AR,DE,0
BR,DE,469
CL,DE,77
CO,DE,534
EC,DE,0
PE,DE,9
VE,DE,868
AME_OTH,DE,0
KZ,DE,5470
KG,DE,0
TJ,DE,0
TM,DE,39
UZ,DE,0
CN_X_HK,DE,61
HK,DE,0
JP,DE,8
KR,DE,12
IN,DE,23
IR,DE,96
BN,DE,0
ID,DE,4
MY,DE,33
SG,DE,32
TH,DE,14
VN,DE,0
AM,DE,0
AZ,DE,2146
BH,DE,0
GE,DE,33
IQ,DE,840
IL,DE,14
KW,DE,591
OM,DE,0
QA,DE,47
SA,DE,2387
SY,DE,0
AE,DE,0
YE,DE,0
ASI_NME,DE,0
ASI_OTH,DE,0
AU,DE,0
NZ,DE,0
PG,DE,0
TOTAL,DE,125604
NSP,DE,38
BE,EE,1
BG,EE,0
CZ,EE,0
DK,EE,1
DE,EE,11
EE,EE,0
IE,EE,0
EL,EE,0
ES,EE,0
FR,EE,0
HR,EE,0
IT,EE,1
CY,EE,0
LV,EE,6
LT,EE,629
LU,EE,0
HU,EE,0
MT,EE,0
NL,EE,2
AT,EE,0
PL,EE,23
PT,EE,0
RO,EE,0
SI,EE,0
SK,EE,0
FI,EE,384
SE,EE,85
UK,EE,31
IS,EE,0
NO,EE,26
CH,EE,0
ME,EE,0
MK,EE,0
RS,EE,0
TR,EE,0
BY,EE,305
BA,EE,0
MD,EE,0
RU,EE,616
UA,EE,0
EX_SU_OTH,EE,0
EUR_OTH,EE,0
AO,EE,0
CM,EE,0
CG,EE,0
CD,EE,0
GQ,EE,0
GA,EE,0
DZ,EE,0
EG,EE,0
LY,EE,0
TN,EE,0
NG,EE,0
AFR_OTH,EE,0
CA,EE,0
US,EE,0
BS,EE,0
AN,EE,0
TT,EE,0
MX,EE,0
AR,EE,0
BR,EE,0
CL,EE,0
CO,EE,0
EC,EE,0
PE,EE,0
VE,EE,0
AME_OTH,EE,0
KZ,EE,145
KG,EE,0
TJ,EE,0
TM,EE,0
UZ,EE,0
CN_X_HK,EE,0
HK,EE,0
JP,EE,0
KR,EE,0
IN,EE,0
IR,EE,0
BN,EE,0
ID,EE,0
MY,EE,0
SG,EE,0
TH,EE,0
VN,EE,0
AM,EE,0
AZ,EE,0
BH,EE,0
GE,EE,0
IQ,EE,0
IL,EE,0
KW,EE,0
OM,EE,0
QA,EE,0
SA,EE,0
SY,EE,0
AE,EE,0
YE,EE,0
ASI_NME,EE,0
ASI_OTH,EE,0
AU,EE,0
NZ,EE,0
PG,EE,0
TOTAL,EE,2266
NSP,EE,0
BE,IE,0
BG,IE,0
CZ,IE,0
DK,IE,0
DE,IE,0
EE,IE,0
IE,IE,0
EL,IE,0
ES,IE,0
FR,IE,0
HR,IE,0
IT,IE,0
CY,IE,0
LV,IE,0
LT,IE,0
LU,IE,0
HU,IE,0
MT,IE,0
NL,IE,0
AT,IE,0
PL,IE,0
PT,IE,0
RO,IE,0
SI,IE,0
SK,IE,0
FI,IE,0
SE,IE,0
UK,IE,5151
IS,IE,0
NO,IE,645
CH,IE,0
ME,IE,0
MK,IE,0
RS,IE,0
TR,IE,0
BY,IE,0
BA,IE,0
MD,IE,0
RU,IE,0
UA,IE,0
EX_SU_OTH,IE,0
EUR_OTH,IE,0
AO,IE,0
CM,IE,0
CG,IE,0
CD,IE,0
GQ,IE,0
GA,IE,0
DZ,IE,987
EG,IE,0
LY,IE,334
TN,IE,0
NG,IE,973
AFR_OTH,IE,0
CA,IE,0
US,IE,99
BS,IE,0
AN,IE,0
TT,IE,0
MX,IE,0
AR,IE,0
BR,IE,0
CL,IE,0
CO,IE,0
EC,IE,0
PE,IE,0
VE,IE,0
AME_OTH,IE,0
KZ,IE,0
KG,IE,0
TJ,IE,0
TM,IE,0
UZ,IE,0
CN_X_HK,IE,0
HK,IE,0
JP,IE,0
KR,IE,0
IN,IE,0
IR,IE,0
BN,IE,0
ID,IE,0
MY,IE,0
SG,IE,0
TH,IE,0
VN,IE,0
AM,IE,0
AZ,IE,0
BH,IE,0
GE,IE,0
IQ,IE,0
IL,IE,0
KW,IE,0
OM,IE,0
QA,IE,0
SA,IE,0
SY,IE,0
AE,IE,0
YE,IE,0
ASI_NME,IE,0
ASI_OTH,IE,0
AU,IE,0
NZ,IE,0
PG,IE,0
TOTAL,IE,8189
NSP,IE,0
BE,EL,64
BG,EL,164
CZ,EL,0
DK,EL,427
DE,EL,2
EE,EL,0
IE,EL,0
EL,EL,0
ES,EL,136
FR,EL,303
HR,EL,47
IT,EL,753
CY,EL,238
LV,EL,0
LT,EL,0
LU,EL,0
HU,EL,0
MT,EL,49
NL,EL,147
AT,EL,0
PL,EL,0
PT,EL,249
RO,EL,39
SI,EL,0
SK,EL,1
FI,EL,0
SE,EL,0
UK,EL,38
IS,EL,0
NO,EL,262
CH,EL,2
ME,EL,0
MK,EL,0
RS,EL,0
TR,EL,49
BY,EL,0
BA,EL,0
MD,EL,0
RU,EL,9075
UA,EL,657
EX_SU_OTH,EL,0
EUR_OTH,EL,7
AO,EL,0
CM,EL,0
CG,EL,0
CD,EL,0
GQ,EL,0
GA,EL,0
DZ,EL,95
EG,EL,485
LY,EL,2756
TN,EL,53
NG,EL,8
AFR_OTH,EL,9
CA,EL,46
US,EL,733
BS,EL,0
AN,EL,0
TT,EL,0
MX,EL,0
AR,EL,0
BR,EL,0
CL,EL,0
CO,EL,0
EC,EL,0
PE,EL,0
VE,EL,86
AME_OTH,EL,0
KZ,EL,1784
KG,EL,0
TJ,EL,0
TM,EL,0
UZ,EL,0
CN_X_HK,EL,0
HK,EL,0
JP,EL,0
KR,EL,0
IN,EL,49
IR,EL,1858
BN,EL,0
ID,EL,0
MY,EL,0
SG,EL,0
TH,EL,0
VN,EL,0
AM,EL,0
AZ,EL,0
BH,EL,13
GE,EL,9
IQ,EL,3409
IL,EL,28
KW,EL,0
OM,EL,0
QA,EL,37
SA,EL,3925
SY,EL,0
AE,EL,0
YE,EL,0
ASI_NME,EL,0
ASI_OTH,EL,0
AU,EL,0
NZ,EL,0
PG,EL,0
TOTAL,EL,28197
NSP,EL,116
BE,ES,160
BG,ES,35
CZ,ES,0
DK,ES,126
DE,ES,24
EE,ES,674
IE,ES,0
EL,ES,291
ES,ES,0
FR,ES,985
HR,ES,0
IT,ES,2689
CY,ES,0
LV,ES,38
LT,ES,157
LU,ES,0
HU,ES,0
MT,ES,580
NL,ES,1846
AT,ES,0
PL,ES,0
PT,ES,606
RO,ES,6
SI,ES,0
SK,ES,0
FI,ES,10
SE,ES,944
UK,ES,709
IS,ES,0
NO,ES,158
CH,ES,1
ME,ES,0
MK,ES,0
RS,ES,0
TR,ES,106
BY,ES,0
BA,ES,0
MD,ES,0
RU,ES,9406
UA,ES,944
EX_SU_OTH,ES,0
EUR_OTH,ES,551
AO,ES,1920
CM,ES,450
CG,ES,554
CD,ES,0
GQ,ES,1295
GA,ES,531
DZ,ES,2416
EG,ES,429
LY,ES,5127
TN,ES,236
NG,ES,8450
AFR_OTH,ES,221
CA,ES,312
US,ES,2623
BS,ES,35
AN,ES,0
TT,ES,0
MX,ES,8676
AR,ES,674
BR,ES,589
CL,ES,0
CO,ES,3287
EC,ES,0
PE,ES,0
VE,ES,2943
AME_OTH,ES,4
KZ,ES,392
KG,ES,0
TJ,ES,0
TM,ES,0
UZ,ES,0
CN_X_HK,ES,6
HK,ES,0
JP,ES,19
KR,ES,33
IN,ES,295
IR,ES,1101
BN,ES,0
ID,ES,396
MY,ES,7
SG,ES,51
TH,ES,0
VN,ES,1
AM,ES,1
